Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
0,0.02,2.61,2.61
0.15,0.04,3.22,3.22
0.3,-0.06,9.7,9.7
0.47,0.02,6.35,6.35
0.63,-0.13,12.04,12.05
0.78,0.24,9.13,9.13
0.93,-0.1,3.19,3.19
1.1,0.25,8.83,8.83
1.25,0.04,12.52,12.52
1.4,0.21,15.79,15.79
1.56,-0.15,8.64,8.64
1.73,-0.15,10.21,10.21
1.87,0.14,13.12,13.12
2.04,0.25,12.3,12.31
2.2,-0.04,13.08,13.08
2.35,0.31,13.28,13.28
2.52,-0.21,15.41,15.42
2.67,0.33,12.39,12.4
2.84,-0.24,14.58,14.59
2.99,0.39,15.03,15.04
3.15,0.11,13.96,13.96
3.3,-0.1,12.33,12.33
3.47,0.37,9.65,9.65
3.62,-0.04,6.22,6.22
3.79,-0.22,9.81,9.82
3.93,0.38,9.46,9.46
4.08,0.11,6.81,6.81
4.24,-0.3,2.28,2.3
4.39,-0.11,13.9,13.9
4.56,0.46,11.52,11.53
4.72,0.6,14.88,14.89
4.88,-0.31,18.65,18.65
5.05,-0.22,8.8,8.8
5.19,0.29,11.83,11.83
5.36,0.74,10.62,10.65
5.52,0,11.8,11.8
5.67,-0.58,11.53,11.54
5.84,-0.32,6.76,6.77
5.99,0.34,13.92,13.92
6.14,0.73,13.92,13.94
6.31,0,9.75,9.75
6.46,-0.33,9.08,9.09
6.62,-0.27,6,6
6.76,0.34,6.82,6.83
6.93,0.66,12.98,13
7.08,-0.05,11.01,11.01
7.25,-0.35,11.64,11.64
7.41,-0.08,12.46,12.46
7.56,0.53,11.51,11.52
7.73,0.66,6.98,7.01
7.88,-0.45,10.91,10.92
8.05,-0.37,10.39,10.4
8.2,0.25,12.49,12.49
8.36,0.52,11.17,11.18
8.52,0.53,7.09,7.11
8.67,-0.51,11.95,11.96
8.84,-0.36,13.77,13.77
8.98,0.11,13.88,13.88
9.15,0.54,7.87,7.88
9.3,0.51,10.78,10.79
9.47,0.34,9.6,9.61
9.62,0.09,11.49,11.49
9.78,-0.23,14.55,14.56
9.95,-0.39,12.79,12.8
10.1,0.27,14.96,14.96
10.27,0.5,9.88,9.89
10.41,0.43,4.84,4.86
10.58,0.2,11.37,11.37
10.72,-0.13,12.4,12.4
10.88,-0.31,15.45,15.45
11.04,0.08,10.98,10.98
