               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12543,            0.012797,            0.074074,           0.0096058,            0.052326,           0.0042609,          0.00097268,             0.12125,              0.0112,             0.07018,               0.001,               0.001,               0.091
                   1,              0.1141,            0.014398,            0.059178,            0.054606,             0.17442,             0.01959,           0.0031418,             0.10976,            0.012298,            0.047303,           0.0020958,           0.0020958,            0.081096
                   2,              0.1058,            0.014184,            0.037925,            0.042195,             0.02907,            0.012419,           0.0029118,             0.10591,            0.012695,            0.019538,           0.0031873,           0.0031873,            0.071187
                   3,            0.098984,            0.016281,            0.017097,             0.12646,            0.069767,            0.042821,            0.013835,             0.10277,            0.012448,            0.011641,           0.0042745,           0.0042745,            0.061274
                   4,            0.092953,            0.015888,            0.010393,             0.22859,            0.069767,            0.045818,            0.010731,             0.11504,             0.01047,           0.0084365,           0.0053572,           0.0053572,            0.051357
                   5,             0.10486,            0.011234,           0.0093733,            0.047666,             0.19186,            0.037595,           0.0072582,             0.11679,           0.0094206,           0.0058606,           0.0064357,           0.0064357,            0.041436
                   6,             0.10177,            0.010381,           0.0091073,             0.41234,                0.25,             0.17761,            0.029537,             0.11437,           0.0093678,           0.0049521,           0.0075097,           0.0075097,             0.03151
                   7,            0.096839,            0.011258,           0.0087075,             0.66874,             0.59884,             0.60342,             0.19729,             0.11522,           0.0091937,           0.0042515,           0.0085794,           0.0085794,            0.021579
                   8,            0.099507,           0.0098426,           0.0084478,             0.04017,             0.05814,             0.01398,           0.0034573,             0.11133,           0.0082783,           0.0044715,           0.0096448,           0.0096448,            0.011645
                   9,            0.098679,           0.0094358,           0.0073226,             0.28482,             0.48837,             0.23813,             0.05384,            0.088783,           0.0084116,           0.0037607,           0.0098218,           0.0098218,           0.0098218
                  10,            0.088042,            0.011024,           0.0057026,             0.27252,             0.31395,             0.18148,             0.03695,            0.099784,           0.0071491,           0.0031192,           0.0098218,           0.0098218,           0.0098218
                  11,             0.09196,             0.01028,           0.0053364,             0.21162,             0.35465,             0.16484,            0.038322,            0.092176,           0.0074156,            0.003258,            0.009802,            0.009802,            0.009802
                  12,            0.089727,            0.009894,           0.0059825,             0.17947,             0.31395,             0.13609,            0.034034,             0.09508,           0.0069974,           0.0033169,           0.0097822,           0.0097822,           0.0097822
                  13,            0.085215,           0.0099484,           0.0061019,             0.25104,              0.3314,             0.17625,            0.035668,            0.085721,           0.0076108,           0.0034753,           0.0097624,           0.0097624,           0.0097624
                  14,             0.08012,            0.010822,           0.0057598,              0.2448,             0.48623,             0.24106,            0.052923,            0.080441,           0.0076217,           0.0034455,           0.0097426,           0.0097426,           0.0097426
                  15,            0.074772,            0.010303,           0.0051567,             0.34701,             0.39535,             0.32588,            0.077883,            0.081933,           0.0073998,            0.003387,           0.0097228,           0.0097228,           0.0097228
                  16,            0.078004,            0.010057,           0.0051623,             0.39063,             0.49419,             0.36679,            0.070391,            0.084915,           0.0069235,           0.0033347,            0.009703,            0.009703,            0.009703
                  17,            0.082788,           0.0086282,           0.0051552,              0.4827,              0.4123,             0.42486,             0.12271,            0.081644,           0.0068675,           0.0036198,           0.0096832,           0.0096832,           0.0096832
                  18,            0.077303,              0.0091,            0.005282,             0.42047,             0.70865,             0.51208,             0.14553,            0.075842,           0.0064618,           0.0035305,           0.0096634,           0.0096634,           0.0096634
                  19,            0.078467,           0.0090033,           0.0048047,             0.56936,             0.54577,             0.55892,             0.12727,            0.068879,           0.0067538,           0.0036325,           0.0096436,           0.0096436,           0.0096436
                  20,             0.07167,           0.0096687,           0.0050326,             0.66398,              0.8042,             0.78617,             0.23986,            0.075665,           0.0060852,           0.0034578,           0.0096238,           0.0096238,           0.0096238
                  21,            0.069474,           0.0094942,           0.0048622,             0.62657,             0.74419,             0.71639,             0.23681,            0.069084,           0.0062912,           0.0035185,            0.009604,            0.009604,            0.009604
                  22,            0.065373,           0.0097468,           0.0045818,             0.56937,             0.80233,             0.58952,             0.24123,            0.067946,           0.0068672,           0.0036405,           0.0095842,           0.0095842,           0.0095842
                  23,            0.068596,           0.0098065,           0.0045952,             0.61679,             0.82349,             0.61284,             0.20318,            0.066413,           0.0066318,           0.0034916,           0.0095644,           0.0095644,           0.0095644
                  24,            0.064203,           0.0090039,           0.0045553,             0.55693,             0.76734,             0.54473,             0.17544,            0.064142,           0.0067555,           0.0036303,           0.0095446,           0.0095446,           0.0095446
                  25,            0.060557,           0.0088215,            0.004741,             0.61622,             0.84016,             0.71643,             0.27372,            0.057966,            0.006581,           0.0037164,           0.0095248,           0.0095248,           0.0095248
                  26,            0.058279,            0.009195,           0.0043557,             0.76356,              0.7907,             0.84711,             0.49836,            0.059848,           0.0061159,           0.0037189,            0.009505,            0.009505,            0.009505
                  27,            0.062678,           0.0084406,           0.0045351,             0.77756,             0.83721,              0.8703,                0.28,            0.057525,           0.0061017,           0.0038706,           0.0094852,           0.0094852,           0.0094852
                  28,            0.063906,           0.0084999,           0.0045789,             0.71317,             0.73724,             0.79266,             0.39499,            0.070377,           0.0052954,           0.0039046,           0.0094654,           0.0094654,           0.0094654
                  29,            0.067922,           0.0077013,           0.0047287,             0.83748,             0.84302,             0.90048,             0.47521,            0.050111,           0.0059022,           0.0040986,           0.0094456,           0.0094456,           0.0094456
                  30,            0.048714,           0.0087565,           0.0049522,             0.78225,             0.77277,             0.84607,             0.45038,            0.054781,           0.0059345,           0.0037902,           0.0094258,           0.0094258,           0.0094258
                  31,            0.055529,           0.0080014,           0.0039209,             0.85297,             0.88953,             0.93475,             0.41851,            0.061714,           0.0053156,            0.003658,            0.009406,            0.009406,            0.009406
                  32,            0.062819,            0.008065,           0.0042962,             0.74392,             0.91205,             0.83978,             0.29851,            0.054551,           0.0055217,           0.0037088,           0.0093862,           0.0093862,           0.0093862
                  33,            0.058254,           0.0076548,           0.0045489,             0.77965,             0.80233,             0.87438,             0.32842,            0.053298,           0.0055979,           0.0039002,           0.0093664,           0.0093664,           0.0093664
                  34,            0.051092,           0.0077141,           0.0042999,             0.65799,             0.81653,             0.80352,             0.35185,            0.051432,           0.0054384,           0.0038074,           0.0093466,           0.0093466,           0.0093466
                  35,            0.052799,           0.0079155,           0.0038516,             0.78566,             0.95898,             0.92567,             0.46849,            0.048882,            0.005192,           0.0037671,           0.0093268,           0.0093268,           0.0093268
                  36,            0.051574,           0.0076272,           0.0041174,             0.72004,             0.93023,             0.89505,             0.41289,            0.050533,           0.0053032,           0.0038813,            0.009307,            0.009307,            0.009307
                  37,            0.054292,           0.0080249,           0.0044888,             0.67214,             0.87209,             0.69817,             0.34165,            0.053573,           0.0052118,           0.0039672,           0.0092872,           0.0092872,           0.0092872
                  38,             0.05266,           0.0066616,           0.0044267,             0.82296,             0.86483,             0.91043,              0.3956,            0.047722,           0.0053071,            0.003906,           0.0092674,           0.0092674,           0.0092674
                  39,            0.051209,           0.0071605,           0.0042003,             0.82025,             0.87791,             0.87954,             0.36819,            0.063547,            0.004858,           0.0038944,           0.0092476,           0.0092476,           0.0092476
                  40,            0.059092,           0.0071959,           0.0044541,             0.93819,             0.97079,             0.97094,             0.50485,            0.047169,           0.0052107,           0.0040749,           0.0092278,           0.0092278,           0.0092278
                  41,            0.051336,           0.0071321,           0.0043873,             0.95393,             0.96512,             0.98539,              0.6249,             0.04591,           0.0049605,           0.0038976,            0.009208,            0.009208,            0.009208
                  42,            0.051066,           0.0065117,           0.0038047,             0.85275,             0.87791,             0.94193,             0.58311,            0.048429,           0.0049706,           0.0036822,           0.0091882,           0.0091882,           0.0091882
                  43,            0.054292,           0.0073253,           0.0037272,             0.99406,             0.98256,             0.99429,             0.60641,            0.043979,           0.0048577,           0.0037235,           0.0091684,           0.0091684,           0.0091684
                  44,            0.051091,           0.0070702,           0.0040916,             0.84119,             0.87791,             0.93094,             0.58816,            0.046977,           0.0048969,            0.003841,           0.0091486,           0.0091486,           0.0091486
